Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	5314
Total length (>= 1000 bp)	5314
Total length (>= 5000 bp)	5314
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	5314
Total length	5314
Reference length	430944
GC (%)	44.64
Reference GC (%)	35.58
N50	5314
N75	5314
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	5314
# N's per 100 kbp	0.00
NGA50	-
