Assembly	recycler
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	15067
Total length (>= 1000 bp)	15067
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	4167
Total length	15067
Reference length	170926
GC (%)	41.63
Reference GC (%)	50.58
N50	4014
N75	3478
L50	2
L75	3
# unaligned contigs	4 + 0 part
Unaligned length	15067
# N's per 100 kbp	0.00
NGA50	-
