Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	1477
Total length (>= 1000 bp)	1477
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	1477
Total length	1477
Reference length	206136
GC (%)	50.98
Reference GC (%)	50.18
N50	1477
N75	1477
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	1477
# N's per 100 kbp	0.00
NGA50	-
