Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	2786
Total length (>= 1000 bp)	2786
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	2786
Total length	2786
Reference length	177752
GC (%)	35.14
Reference GC (%)	47.82
N50	2786
N75	2786
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	2786
# N's per 100 kbp	0.00
NGA50	-
