Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	2095
Total length (>= 1000 bp)	2095
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	2095
Total length	2095
Reference length	464032
GC (%)	44.77
Reference GC (%)	48.50
N50	2095
N75	2095
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	2095
# N's per 100 kbp	0.00
NGA50	-
