Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	1480
Total length (>= 1000 bp)	1480
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	1480
Total length	1480
Reference length	300199
GC (%)	51.22
Reference GC (%)	50.03
N50	1480
N75	1480
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	1480
# N's per 100 kbp	0.00
NGA50	-
