Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	5081
Total length (>= 1000 bp)	5081
Total length (>= 5000 bp)	5081
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	5081
Total length	5081
Reference length	102544
GC (%)	45.96
Reference GC (%)	51.46
N50	5081
N75	5081
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	5081
# N's per 100 kbp	0.00
NGA50	-
