Assembly	recycler
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	21507
Total length (>= 1000 bp)	21507
Total length (>= 5000 bp)	21507
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	8068
Total length	21507
Reference length	95598
GC (%)	48.14
Reference GC (%)	48.04
N50	6764
N75	6675
L50	2
L75	3
# unaligned contigs	3 + 0 part
Unaligned length	21507
# N's per 100 kbp	0.00
NGA50	-
