Assembly	recycler
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	4782
Total length (>= 1000 bp)	4782
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	2997
Total length	4782
Reference length	81966
GC (%)	50.31
Reference GC (%)	48.76
N50	2997
N75	1785
L50	1
L75	2
# unaligned contigs	2 + 0 part
Unaligned length	4782
# N's per 100 kbp	0.00
NGA50	-
