Assembly	recycler
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	12369
Total length (>= 1000 bp)	12369
Total length (>= 5000 bp)	5275
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	5275
Total length	12369
Reference length	279233
GC (%)	38.34
Reference GC (%)	35.45
N50	4147
N75	4147
L50	2
L75	2
# unaligned contigs	3 + 0 part
Unaligned length	12369
# N's per 100 kbp	0.00
NGA50	-
