Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	4167
Total length (>= 1000 bp)	4167
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	4167
Total length	4167
Reference length	213478
GC (%)	41.49
Reference GC (%)	50.49
N50	4167
N75	4167
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	4167
# N's per 100 kbp	0.00
NGA50	-
