Assembly	recycler
# contigs (>= 0 bp)	1
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	1000
Total length (>= 1000 bp)	1000
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	1000
Total length	1000
Reference length	115736
GC (%)	49.90
Reference GC (%)	48.40
N50	1000
N75	1000
L50	1
L75	1
# unaligned contigs	1 + 0 part
Unaligned length	1000
# N's per 100 kbp	0.00
NGA50	-
